Kalimat;Kelas
Apa saja judul buku yang ditulis oleh SyahIDMuhammad?;OOD
Bagaimana cara memperbaiki tabel berantakan?;OOD
Siapa penulis buku Saddha?;OOD
Buku yang berjudul Pergi adalah karya?;OOD
kapan fasilkom didirikan?;OOD
Rekomendasi situs web yang wajib diketahui oleh mahasiswa?;OOD
Siapa penulis buku Rehat Dulu?;OOD
Apa visi misi unsri?;OOD
Siapa Nama Rektor Universitas Sriwijaya?;OOD
Jurusan S2 yang sesuai dengan passion dan skill desain;OOD
Siapa penulis buku Duduk Dulu?;OOD
Kapan waktu yang tepat untuk tidur ?;OOD
Dimana letak ruangan laboratorium data science di Fakultas ilmu komputer unsri?;OOD
Dia adalah seorang dokter gigi;OOD
drama korea apa yang bagus ditonton saat ini?;OOD
Dimana saja letak kampus unsri? ;OOD
Siapakah orang yang pertama kali mendarat di pluto ?;OOD
Kapan konser BTS tahun 2021 dilaksanakan?;OOD
Siapa pendiri unsri? ;OOD
Bagaimana cara agar kita tidak malas belajar?;OOD
Apakah novel Tere Liye termasuk karya sastra?;OOD
Siapa penulis puisi Aku Berada Kembali?;OOD
Bagaimana cara menurunkan berat badan yang sehat?;OOD
Mengapa Ilmu Komputer harus lulus suliet 500?;OOD
Jelaskan tentang laut mati ? ;OOD
Mengapa kampus memberlakukan skripsi?;OOD
Apa yang harus dipersiapkan untuk melanjutkan pendidikan ke perguruan tinggi?;OOD
Siapa penulis buku Kata?;OOD
Kira kira kalau saya lanjut S2 jurusan apa yang cocok untuk saya;OOD
Kapan Indonesia Merdeka?;OOD
Tahun berapa UNSRI didirikan?;OOD
Berapa fakultas di unsri? ;OOD
Siapa Nama Dekan Fakultas Ilmu Sosial dan Politik Universitas Sriwijaya?;OOD
Siapa Nama Dekan Fakultas Teknik Universitas Sriwijaya?;OOD
Bagaimana cara menjadi Design Web yang profesional?;OOD
Apa saja aturan yang mengikat puisi lama?;OOD
Bagaimana kriteria mahasiswa yang baik?  ;OOD
Asal usul batik menjadi kebanggaan di Indonesia?;OOD
Siapa istri Adam Smith?;OOD
Apa peran orang tua dalam mendukung pendidikan anak?;OOD
Apa saja warna-warna primer?;OOD
Data untuk apa;OOD
Sebutka lagu yang populer pada tahun 2021?;OOD
Berapa kurun waktu tercepat proses move on setelah ditinggalkan pasca hubungan tanpa status ?;OOD
Mengapa langit berwarna biru?;OOD
Siapa pencipta lagu Hari Merdeka?;OOD
Berapa banyak penjual martabak di indralaya?;OOD
Jika febyk sedang marah, Annisa sedang merajuk. Siapakah yang cantik ?;OOD
Apa saja varian martabak spesial yang tersedia?;OOD
Apakah skill pemrograman itu penting?;OOD
Siapa rektor unsri saat ini ;OOD
Apa yang membuat laptop mudah panas?;OOD
Dimana Suna Alkayuni Aresta Lahir?;OOD
Bagaimana cara mendownload jurnal secara gratis? ;OOD
Berapa uang yang diperlukan untuk membeli sebuah komputer bekas;OOD
Kenapa huruf b itu di antara a dan c;OOD
Apa si keuntungan chatbot ini;OOD
Berapa harga buku Pemrograman Web?;OOD
Siapa penulis buku Egosentris?;OOD
Siapa Nama Dekan Fakultas Ekonomi Universitas Sriwijaya?;OOD
Siapa nama kucing peliharaan Anda ?;OOD
Salah satu merk sepatu ternama;OOD
Siapa penulis buku Atomic Habit?;OOD
Bagaimana cara mengumpulkan tugas pada website elarning unsri?;OOD
Siapa penulis buku Kala?;OOD
Bagaimana cara membuat surat resmi?;OOD
Siapa penulis buku Jika Kita Tak Pernah Jadi Apa-Apa?;OOD
Siapa pemilik perusahaan terbesar di Indonesia?;OOD
Siapa penulis buku Geez and Ann?;OOD
Tanggal berapa UNSRI didirikan?;OOD
Apakah direktur utama UKM U-READ periode 2019/2020 akan meminta maaf kepada sekretaris umum periode 2019/2020 ?;OOD
Siapa Nama Dekan Fakultas Pertanian Universitas Sriwijaya?;OOD
Siapa penulis buku 25 Jam?;OOD
Siapa orang tercerdas di dunia?;OOD
Siapa Nama Manajer EBI 2019/2020?;OOD
Mengapa jumlah Core di sebuah procesor mempengaruhi kinerja laptop?;OOD
Siapa penulis buku Amor Fati?;OOD
Mengapa daun berwarna hijau ?;OOD
Makanan ;OOD
Harga buku kalkulus? ;OOD
Saya hobi nonton;OOD
Siapa nama hero di blackclover ? ;OOD
Bagaimana cara mengekstraksi DBpedia?;OOD
Berapa tinggi Monumen Nasional?;OOD
Apa yang membuat wanita jatuh hati ke seorang pria?;OOD
Bagaimana cara dapat nilai yang tinggi di setiap semester?;OOD
Lebih susah belajar matematika atau bahasa inggris;OOD
Bagaimana cara mendaftar atau pengajuan beasiswa di kampus UNSRI?;OOD
Berapa jumlah tulang rusuk laki-laki?;OOD
Bagaimana cara agar mendapatkan beasiswa full saat kuliah?;OOD
Siapa raja pertama korea selatan?;OOD
Kapan Islam pertama kali datang ke Indonesia?;OOD
UKT tertinggi di UNSRI?;OOD
Apa yang menyebabkan terjadinya kanker?;OOD
Jam berapa kah admin berada dalam ruangan jurusan?;OOD
Apa yang menjadi alasan/landasan anda dalam membuat chatbot;OOD
Seberapa penting bisa berbahasa Inggris?;OOD
Kapan Tere Liye menerbitkan buku pertama kali?;OOD
Mengapa kita perlu minum ?;OOD
Siapa penulis puisi Pada Suatu Hari Nanti?;OOD
Temukan data mahasiswa dengan nama adi;ID
tampilkan daftar nama dosen ;ID
Berikan data dosen pembimbing Nadia Rizky Hairunnisa;ID
Siapa dosen yang mengajar mata kuliah matematika dasar ?;ID
Tampilkan data mahasiswa bernama Dahlia;ID
Berapa nip pak naufal rachmatullah?;ID
Apa saja mata kuliah pilihan yang bisa diambil pada semester 6?;ID
Tampilkan daftar nama mahasiswa yang berjenis kelamin perempuan pada jurusan Teknik Informatika angkatan 2018;ID
temukan nama mahasiswa yang memiliki nim 09021181823168;ID
Berikan data dosen pembimbing Febyk Alek Satria;ID
Berapa IPK mahasiswa dengan NIM 09021¹81823003 ?;ID
Berapa nip pak qurhanul rizqie?;ID
Berapa jumlah mahasiswa aktif teknik informatika saat ini?;ID
temukan mahasiswa yang berjenis kelamin wanita;ID
nilai mahasiswa nim 09021181823003;ID
Berikan data dosen pembimbing Adi Kurniawan;ID
Sebutkan nama dosen yang mengajar pada bidang pengolahan citra;ID
Tampilkan mahasiswa teknik informatika angkatan 2017 yang masih belum lulus? ;ID
tolong cari kode mata kuliah kalkulus;ID
temukan mahasiswa kalkulus dengan nilai E;ID
Cari data mahasiswa yang memiliki nilai Suliet > 600;ID
Berikan IP semster 1 sampai IP semester 4 untuk mahasiswa bernama Adi Kurniawan;ID
Sebutkan nama dosen yang mengajar pada bidang jaringan komputer;ID
Siapa saja dosen teknik informatika yang berjenis kelamin perempuan?;ID
Tolong berikan daftar nama mahasiswa yang berjenis kelamin wanita;ID
mahasiswa bimbingan abdiansyah;ID
Berikan data mahasiswa dengan IPK > 3.8;ID
Carikan data mahasiswa dengan NIM 09021281823051;ID
Siapa pembimbing TA dari mahasiswa nim;ID
sebutkan mata kuliah pilihan pada semester 7;ID
Siapa saja dosen teknik informatika yang berjenis kelamin laki-laki?;ID
Berikan data mahasiswa dengan IPK > 3.8;ID
Minta daftar dosen teknik informatika;ID
Tampilkan data mahasiswa per angkatan yang blm lulus;ID
sebutkan mata kuliah pilihan pada semester 5;ID
Temukan kode mata kuliah Probabilitas dan Statistika;ID
Munculkan nama mahasiswa angkatan 2018 yang sudah menyelesaikan skripsi;ID
Temukan kode mata kuliah kalkulus;ID
Berapa NIP dosen atas nama abdiansyah?;ID
Tampilkan nilai saya;ID
Berapa jumlah mahasiswa Teknik Informatika Reguler 2018?;ID
Berapa jumlah mahasiswa teknik infromatika 2021?;ID
Siapa nama mahasiswa yang memiliki NIM 09021281823039?;ID
Tampilkan jumlah sks yang sudah diambil oleh mahasiswa dengan nim 09021281823165!;ID
Cari nama dosen yang mengajar mata kuliah Algoritma dan Pemrograman III;ID
Berapa jumlah SKS untuk mata kuliah Kalkulus ?;ID
Berapa jumlah sks yang harus ditempuh untuk lulus di Jurusan Teknik Informatika?;ID
Tampilkan profil dosen atas nama abdiansyah;ID
Berapa jumlah mahasiswa Teknik Informatika Bilingual 2018?;ID
Tampilkan daftar mata kuliah yang sudah diambil oleh mahasiswa dengan nim 09021281823165!;ID
Tampilkan data mahasiswa yang sudah lulus;ID
Tampilkan daftar nama mahasiswa Teknik Informatika Reguler 2015;ID
Siapa saja dosen pengampu mata kuliah algoritma dan pemrograman?;ID
Tampilkan daftar nama mahasiswa yang berjenis kelamin perempuan pada jurusan Teknik Informatika angkatan 2018;ID
Berapa nip pak Abdiansah ?;ID
Berapa nim mahasiswa bernama Virani Amanda ?;ID
Tampilkan nama dan nip kepala jurusan teknik informatika;ID
Berika daftar nama mahasiswa berjenis kelamin perempuan angkatan 2020;ID
Tampilkan mahasiswa dengan IPK diatas 3.5;ID
Apa nama mata kuliah dengan kode kelas FIK20022?;ID
Siapakah pemilik NIM 09021281823172?;ID
Tampilkan data NIM seluruh mahasiswa angkatan 2018;ID
Siapa nama mahasiswa yang memiliki nim 09021281823057;ID
Tampilkan jadwal mata kuliah Matriks dan Vektor;ID
Tampilkan kartu hasil studi untuk semester 1;ID
Tampilkan kartu hasil studi untuk semester 2;ID
Tampilkan kartu hasil studi untuk semester 3;ID
Tampilkan kartu hasil studi untuk semester 4;ID
Tampilkan kartu hasil studi untuk semester 5;ID
Tampilkan kartu hasil studi untuk semester 6;ID
Tampilkan kartu hasil studi untuk semester 7;ID
Tampilkan kartu hasil studi untuk semester 8;ID
Tampilkan jumlah sks pada semester 1;ID
Tampilkan jumlah sks pada semester 2;ID
Tampilkan jumlah sks pada semester 3;ID
Tampilkan jumlah sks pada semester 4;ID
Tampilkan jumlah sks pada semester 5;ID
Tampilkan jumlah sks pada semester 6;ID
Tampilkan jumlah sks pada semester 7;ID
Tampilkan jumlah sks pada semester 8;ID
Tampilkan ipk pada semester 1;ID
Tampilkan ipk pada semester 2;ID
Tampilkan ipk pada semester 3;ID
Tampilkan ipk pada semester 4;ID
Tampilkan ipk pada semester 5;ID
Tampilkan ipk pada semester 6;ID
Tampilkan ipk pada semester 7;ID
Tampilkan ipk pada semester 8;ID
Tampilkan ip pada semester 1;ID
Tampilkan ip pada semester 2;ID
Tampilkan ip pada semester 3;ID
Tampilkan ip pada semester 4;ID
Tampilkan ip pada semester 5;ID
Tampilkan ip pada semester 6;ID
Tampilkan ip pada semester 7;ID
Tampilkan ip pada semester 8;ID
Tampilkan semester pendek pada semester 2;ID
Tampilkan semester pendek pada semester 4;ID
Tampilkan semester pendek pada semester 6;ID
Tampilkan semester pendek pada semester 8;ID
Tampilkan kartu rencana studi pada semester ini;ID
Tampilkan kartu hasil studi pada semester ini;ID
Tampilkan krs pada semester ini;ID
Tampilkan khs pada semester ini;ID
Tampilkan jumlah sks yang diambil pada semester ini;ID
Tampilkan banyak sks yang diambil pada semester ini;ID
Tampilkan batas sks maksimum yang boleh diambil pada semester ini;ID
Tampilkan jumlah sks maksimum yang boleh diambil pada semester ini;ID
Tampilkan banyak sks maksimum yang boleh diambil pada semester ini;ID
Tampilkan jadwal mata kuliah kalkulus;ID
Tampilkan jadwal mata kuliah algoritma pemrograman 1;ID
Tampilkan jadwal mata kuliah algoritma pemrograman 2;ID
Tampilkan jadwal mata kuliah struktur data 1;ID
Tampilkan jadwal mata kuliah struktur data 2;ID
Tampilkan nama dosen yang mengampu mata kuliah kalkulus;ID
Tampilkan nama dosen yang mengampu mata kuliah algoritma pemrograman 1;ID
Tampilkan nama dosen yang mengampu mata kuliah algoritma pemrograman 2;ID
Tampilkan nama dosen yang mengampu mata kuliah struktur data 1;ID
Tampilkan nama dosen yang mengampu mata kuliah struktur data 2;ID
Tampilkan ruangan mata kuliah kalkulus;ID
Tampilkan ruangan mata kuliah algoritma pemrograman 1;ID
Tampilkan ruangan mata kuliah algoritma pemrograman 2;ID
Tampilkan ruangan mata kuliah struktur data 1;ID
Tampilkan ruangan mata kuliah struktur data 2;ID
Tampilkan sks pada mata kuliah kalkulus;ID
Tampilkan sks pada mata kuliah algoritma pemrograman 1;ID
Tampilkan sks pada mata kuliah algoritma pemrograman 2;ID
Tampilkan sks pada mata kuliah struktur data 1;ID
Tampilkan sks pada mata kuliah struktur data 2;ID
Tampilkan kode mata kuliah kalkulus;ID
Tampilkan kode mata kuliah algoritma pemrograman 1;ID
Tampilkan kode mata kuliah algoritma pemrograman 2;ID
Tampilkan kode mata kuliah struktur data 1;ID
Tampilkan kode mata kuliah struktur data 2;ID
Tampilkan mata kuliah apa saja yang dapat diambil pada semester ini;ID
Tampilkan mata kuliah apa saja yang bisa diambil pada semester ini;ID
Tampilkan mata kuliah apa saja yang dapat diambil pada semester pendek;ID
Tampilkan mata kuliah apa saja yang bisa diambil pada semester pendek;ID
Tampilkan batas maksimum yang boleh diambil pada semester pendek;ID
Tampilkan jumlah maksimum yang boleh diambil pada semester pendek;ID
Tampilkan banyak maksimum yang boleh diambil pada semester pendek;ID
Tampilkan jumlah sks yang diambil pada semster pendek;ID
Tampilkan banyak sks yang diambil pada semster pendek;ID
Tampilkan kartu rencana studi semester pendek;ID
Tampilkan kartu hasil studi semester pendek;ID
Tampilkan krs semester pendek;ID
Tampilkan khs semester pendek;ID
Tampilkan nama dosen pembimbing akademik;ID
Tampilkan nama dosen PA;ID
Tampilkan semester saat ini;ID
Tampilkan semester yang sedang dijalani saat ini;ID
Tampilkan NIM;ID
Tampilkan nomor induk mahasiswa;ID
Tampilkan NIP dosen pembimbing akademik;ID
Tampilkan nomor induk pegawai dosen pembimbing akademik;ID
Tampilkan NIP dosen PA;ID
Tampilkan nomor induk pegawai dosen PA;ID
Tampilkan nama pribadi sesuai yang tercantum pada akademik;ID
Tampilkan nama pribadi sesuai yang tertera pada akademik;ID
Tampilkan program studi;ID
Tampilkan prodi;ID
Tampilkan batas akhir pengisian KRS;ID
Tampilkan tanggal tenggat pengisian KRS;ID
Tampilkan tanggal mulai pengisian KRS;ID
Tampilkan awal pengisian KRS;ID
Tampilkan batas akhir pengisian KPRS;ID
Tampilkan tanggal tenggat pengisian KPRS;ID
Tampilkan tanggal mulai pengisian KPRS;ID
Tampilkan awal pengisian KPRS;ID
Tampilkan transkip nilai;ID
Tampilkan rekap nilai;ID
Tampilkan total sks yang sedang ditempuh;ID
Tampilkan keseluruhan sks yang sedang ditempuh;ID
Tampilkan total sks yang sudah ditempuh;ID
Tampilkan keseluruhan sks yang sudah ditempuh;ID
Tampilkan ipk;ID
Tampilkan index prestasi kumulatif;ID
Tampilkan jumlah mutu;ID
Tampilkan banyak mutu;ID
Tampilkan history mata kuliah kalkulus;ID
Tampilkan history mata kuliah algoritma pemrogramman 1;ID
Tampilkan history mata kuliah algoritma pemrogramman 2;ID
Tampilkan history mata kuliah struktur diskrit 1;ID
Tampilkan history mata kuliah struktur diskrit 2;ID
Tampilkan mata kuliah apa saja yang mengulang;ID
Tampilkan daftar mata kuliah apa saja yang mengulang;ID
Tampilkan mata kuliah dengan nilai A;ID
Tampilkan mata kuliah dengan nilai B;ID
Tampilkan mata kuliah dengan nilai C;ID
Tampilkan mata kuliah dengan nilai D;ID
Tampilkan mata kuliah dengan nilai E;ID
Tampilkan history suliet;ID
Tampilkan history usept;ID
Tampilkan tanggal test suliet;ID
Tampilkan tanggal test usept;ID
Tampilkan hasil test suliet;ID
Tampilkan hasil test usept;ID
Tampilkan data pribadi;ID
Tampilkan informasi data pribadi;ID
Tampilkan angkatan;ID
Tampilkan tahun angkatan;ID
tampilkan mahasiswa;ID
tampilkan nama mahasiswa;ID
lihat nilai uas dan uts;ID
sebutkan nama, alamat, dan kota mahasiswa;ID
lihat mahasiswa yang nimnya 10113005;ID
tampilkan nim mahasiswa yang namanya jamal;ID
tampilkan nama mahasiswa yang jenis kelaminnya perempuan;ID
tampilkan mahasiswa berdasarkan jenis kelamin;ID
tampilkan nilai uas diurutkan berdasarkan paling kecil;ID
lihat mahasiswa yang tinggal di bandung dan namanya ahmad;ID
tampilkan mahasiswa yang berjenis kelamin perempuan dan tinggal di bandung;ID
tampilkan kelas dan nilai;ID
lihat kelas mahasiswa;ID
sebutkan nama, mahasiswa, dan nilai uas;ID
sebutkan nama kelas, dan nilai uas;ID
sebutkan mahasiswa yang nilai uasnya 80 sampai 90;ID
siapa mahasiswa yang uasnya bernilai 90;ID
 kartu hasil studi untuk semester 1;ID
 kartu hasil studi untuk semester 2;ID
 kartu hasil studi untuk semester 3;ID
 kartu hasil studi untuk semester 4;ID
 kartu hasil studi untuk semester 5;ID
 kartu hasil studi untuk semester 6;ID
 kartu hasil studi untuk semester 7;ID
 kartu hasil studi untuk semester 8;ID
 jumlah sks pada semester 1;ID
 jumlah sks pada semester 2;ID
 jumlah sks pada semester 3;ID
 jumlah sks pada semester 4;ID
 jumlah sks pada semester 5;ID
 jumlah sks pada semester 6;ID
 jumlah sks pada semester 7;ID
 jumlah sks pada semester 8;ID
 ipk pada semester 1;ID
 ipk pada semester 2;ID
 ipk pada semester 3;ID
 ipk pada semester 4;ID
 ipk pada semester 5;ID
 ipk pada semester 6;ID
 ipk pada semester 7;ID
 ipk pada semester 8;ID
 ip pada semester 1;ID
 ip pada semester 2;ID
 ip pada semester 3;ID
 ip pada semester 4;ID
 ip pada semester 5;ID
 ip pada semester 6;ID
 ip pada semester 7;ID
 ip pada semester 8;ID
 semester pendek pada semester 2;ID
 semester pendek pada semester 4;ID
 semester pendek pada semester 6;ID
 semester pendek pada semester 8;ID
 kartu rencana studi pada semester ini;ID
 krs pada semester ini;ID
 khs pada semester ini;ID
 jumlah sks yang diambil pada semester ini;ID
 banyak sks yang diambil pada semester ini;ID
 batas sks maksimum yang boleh diambil pada semester ini;ID
 jumlah sks maksimum yang boleh diambil pada semester ini;ID
 banyak sks maksimum yang boleh diambil pada semester ini;ID
 jadwal mata kuliah kalkulus;ID
 jadwal mata kuliah algoritma pemrograman 1;ID
 jadwal mata kuliah algoritma pemrograman 2;ID
 jadwal mata kuliah struktur data 1;ID
 jadwal mata kuliah struktur data 2;ID
 nama dosen yang mengampu mata kuliah kalkulus;ID
 nama dosen yang mengampu mata kuliah algoritma pemrograman 1;ID
 nama dosen yang mengampu mata kuliah algoritma pemrograman 2;ID
 nama dosen yang mengampu mata kuliah struktur data 1;ID
 nama dosen yang mengampu mata kuliah struktur data 2;ID
 ruangan mata kuliah kalkulus;ID
 ruangan mata kuliah algoritma pemrograman 1;ID
 ruangan mata kuliah algoritma pemrograman 2;ID
 ruangan mata kuliah struktur data 1;ID
 ruangan mata kuliah struktur data 2;ID
 sks pada mata kuliah kalkulus;ID
 sks pada mata kuliah algoritma pemrograman 1;ID
 sks pada mata kuliah algoritma pemrograman 2;ID
 sks pada mata kuliah struktur data 1;ID
 sks pada mata kuliah struktur data 2;ID
 kode mata kuliah kalkulus;ID
 kode mata kuliah algoritma pemrograman 1;ID
 kode mata kuliah algoritma pemrograman 2;ID
 kode mata kuliah struktur data 1;ID
 kode mata kuliah struktur data 2;ID
 mata kuliah apa saja yang dapat diambil pada semester ini;ID
 mata kuliah apa saja yang bisa diambil pada semester ini;ID
 mata kuliah apa saja yang dapat diambil pada semester pendek;ID
 mata kuliah apa saja yang bisa diambil pada semester pendek;ID
 batas maksimum yang boleh diambil pada semester pendek;ID
 jumlah maksimum yang boleh diambil pada semester pendek;ID
 banyak maksimum yang boleh diambil pada semester pendek;ID
 jumlah sks yang diambil pada semster pendek;ID
 banyak sks yang diambil pada semster pendek;ID
 kartu rencana studi semester pendek;ID
 kartu hasil studi semester pendek;ID
 krs semester pendek;ID
 khs semester pendek;ID
 nama dosen pembimbing akademik;ID
 nama dosen PA;ID
 semester saat ini;ID
 semester yang sedang dijalani saat ini;ID
 NIM;ID
 nomor induk mahasiswa;ID
 NIP dosen pembimbing akademik;ID
 nomor induk pegawai dosen pembimbing akademik;ID
 NIP dosen PA;ID
 nomor induk pegawai dosen PA;ID
 nama pribadi sesuai yang tercantum pada akademik;ID
 nama pribadi sesuai yang tertera pada akademik;ID
 program studi;ID
 prodi;ID
 batas akhir pengisian KRS;ID
 tanggal tenggat pengisian KRS;ID
 tanggal mulai pengisian KRS;ID
 awal pengisian KRS;ID
 batas akhir pengisian KPRS;ID
 tanggal tenggat pengisian KPRS;ID
 tanggal mulai pengisian KPRS;ID
 awal pengisian KPRS;ID
 transkip nilai;ID
 rekap nilai;ID
 total sks yang sedang ditempuh;ID
 keseluruhan sks yang sedang ditempuh;ID
 total sks yang sudah ditempuh;ID
 keseluruhan sks yang sudah ditempuh;ID
 ipk;ID
 index prestasi kumulatif;ID
 jumlah mutu;ID
 banyak mutu;ID
 history mata kuliah kalkulus;ID
 history mata kuliah algoritma pemrogramman 1;ID
 history mata kuliah algoritma pemrogramman 2;ID
 history mata kuliah struktur diskrit 1;ID
 history mata kuliah struktur diskrit 2;ID
 mata kuliah apa saja yang mengulang;ID
 daftar mata kuliah apa saja yang mengulang;ID
 mata kuliah dengan nilai A;ID
 mata kuliah dengan nilai B;ID
 mata kuliah dengan nilai C;ID
 mata kuliah dengan nilai D;ID
 mata kuliah dengan nilai E;ID
 history suliet;ID
 history usept;ID
 tanggal test suliet;ID
 tanggal test usept;ID
 hasil test suliet;ID
 hasil test usept;ID
asapnya terus mendekatiku .;OOD
kembali ke kampung halaman , kukira aku akan dapat sashimi ...;OOD
tapi yang kudapatkan hanyalah usus babi ?;OOD
hai , ikan mentah di seoul paling murah dan paling segar .;OOD
semua yang ada disini dibawa dari seoul .;OOD
tapi kami dekat dengan laut !;OOD
ini , daging mentah !;OOD
hai , kenapa si berandal itu belum datang ?;OOD
apa tahun ini dia tidak akan hadir juga ?;OOD
menurutmu dia akan datang ?;OOD
dia belum menampakkan batang hidungnya tahun ini .;OOD
dia masih tidak bisa melupakan gadis itu ?;OOD
siapa ?;OOD
har sueun sudah meninggal .;OOD
benarkah ?;OOD
ini sudah dimasak atau belum ?;OOD
jika pacar pertamamu meninggal , apa kamu mudah melupakannya ?;OOD
lupakan itu .;OOD
dia lupa atau tidak , itu adalah kehidupannya sendiri .;OOD
senang bisa melihatmu .;OOD
aku juga .;OOD
sudah lama .;OOD
bisa kamu dengar aku ?;OOD
sueun , pria ini , suho masih tidak bisa melupakanmu .;OOD
hentikan itu !;OOD
otaknya kecil , tapi penuh dengan pikiran mengenai dirimu .;OOD
lepaskan temanku !;OOD
kumohon , sueun !;OOD
pagerku ...;OOD
kami mencarimu kemanamana .;OOD
apa yang kamu lakukan disini ?;OOD
aku tidak tahu .;OOD
